Model,Cost_bps,Avg_Turnover,Ann_Return,Ann_Volatility,Sharpe_Ratio,Max_Drawdown
OLS_FamaMacBeth,0,0.22958314234077987,0.2870507172699652,0.14198613293905496,2.0216813524541632,-0.11519552731673828
OLS_FamaMacBeth,10,0.22958314234077987,0.2815407218537864,0.14185184266162457,1.9847519536660354,-0.11832626378339049
OLS_FamaMacBeth,20,0.22958314234077987,0.27603072643760773,0.14171866650689183,1.9477372546698657,-0.12144716700082551
OLS_FamaMacBeth,50,0.22958314234077987,0.25950074018907165,0.14132585414340784,1.8361873116701493,-0.13075114669807147
Ridge,0,0.223622630477815,0.31004116939274085,0.14902944631529075,2.080402075283896,-0.10731602879847568
Ridge,10,0.223622630477815,0.3046742262612733,0.14885613772323208,2.046769659090265,-0.11015586361761069
Ridge,20,0.223622630477815,0.2993072831298058,0.14868373406149324,2.0130465852170287,-0.11298770463560621
Ridge,50,0.223622630477815,0.2832064537354031,0.1481719841629098,1.9113360419337282,-0.1214354606940397
Lasso,0,0.18575302514548125,0.2898715637144392,0.15335273836721164,1.8902275029502613,-0.1836791854009276
Lasso,10,0.18575302514548125,0.28541349111094766,0.15315577098761968,1.8635503531500555,-0.18611928441916023
Lasso,20,0.18575302514548125,0.28095541850745603,0.15296003157609,1.836789752280449,-0.18855296826742238
Lasso,50,0.18575302514548125,0.26758120069698144,0.15238022832289086,1.7560099734854175,-0.19581567465035118
NN_64_32,0,0.5333546086628806,0.2798925843870715,0.12367771316523303,2.263080204378746,-0.057558281705062185
NN_64_32,10,0.5333546086628806,0.26709207377916233,0.12365858450388152,2.159915341508527,-0.06067498706942677
NN_64_32,20,0.5333546086628806,0.2542915631712532,0.12364235210618282,2.056670379037032,-0.06384540576268836
NN_64_32,50,0.5333546086628806,0.2158900313475258,0.12361104288706867,1.746527060246255,-0.08876195932631553
