Feature,Importance_Mean,Importance_Std
VOLATILITY_90D,5.3226570909864666e-05,4.004701339222805e-06
OPER_MARGIN,1.3288416766860794e-05,3.6553514604136357e-06
CUR_MKT_CAP,9.840415035100928e-06,9.791056206853816e-06
BETA_RAW_OVERRIDABLE,7.923849671664668e-06,2.5182829452825054e-06
VOLUME_AVG_30D,5.7244438482722055e-06,2.8864063558700984e-06
GROSS_MARGIN,5.058064211280363e-06,1.2197668303527006e-06
PX_TO_SALES_RATIO,3.2575218723893996e-06,2.116588719483265e-06
EARN_YLD,2.633616308170359e-06,2.997613527603183e-06
PE_RATIO,1.9474624790688163e-06,2.9847019997934485e-06
CUR_RATIO,1.608869327814587e-06,7.623015557223649e-07
RETURN_COM_EQY,1.4855975758533251e-06,2.2543485463928533e-06
RETURN_ON_ASSET,5.933803322078629e-07,1.1960666323673105e-06
PX_TO_FREE_CASH_FLOW,4.694212863996794e-07,1.0004280400341908e-06
CURRENT_EV_TO_T12M_EBITDA,4.526040505109172e-07,3.1732243232287876e-06
TOT_DEBT_TO_TOT_EQY,4.393304475418941e-07,1.001919954666468e-06
EQY_DVD_YLD_12M,-7.867562244192119e-07,4.364614296553398e-06
REVERSAL_3M,-4.774783925024125e-06,3.0987032692849656e-06
MOMENTUM_12_1,-9.835425791601335e-06,2.9246779681680537e-06
HIGH_52W_RATIO,-1.1335540289636719e-05,1.873884899872144e-06
