Model,Cores,Time_sec,Speedup
FamaMacBeth,16,7.259437561035156,1.0957035416900944
Ridge,16,8.17596960067749,1.2823458317506258
Lasso,16,115.26925826072691,2.286272934985371
NN_64_32,16,186.60169768333435,4.365626692540102
FamaMacBeth,1,7.954191446304321,1.0
Ridge,1,10.484420537948608,1.0
Lasso,1,263.53698539733887,1.0
NN_64_32,1,814.6333522796631,1.0
FamaMacBeth,2,7.375502586364746,1.0784609391920505
Ridge,2,9.205177068710327,1.1389700013035715
Lasso,2,188.0643002986908,1.4013131943637336
NN_64_32,2,537.5487954616547,1.5154593576570927
FamaMacBeth,4,7.472651720046997,1.0644402742557224
Ridge,4,8.715379238128662,1.202979268197604
Lasso,4,184.85226678848267,1.4256627196186413
NN_64_32,4,350.28246784210205,2.3256469480136186
FamaMacBeth,8,7.301013469696045,1.0894640147315697
Ridge,8,8.502376794815063,1.2331164321419203
Lasso,8,135.80878567695618,1.9405002709044574
NN_64_32,8,230.70392394065857,3.5310771414932773
